1,"2021-01-09",182,260,394,543,695,623,617,537,410,438
2,"2021-01-16",163,224,331,437,536,486,489,434,338,359
3,"2021-01-23",136,190,281,359,416,390,392,349,271,287
4,"2021-01-30",123,173,257,324,380,350,347,308,235,244
5,"2021-02-06",95,139,208,256,281,257,258,228,174,179
